Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,7.5885034,9.666147
output/mlm_0_sim_cse_5/model,8.88661,5.7151623
output/mlm_0_sim_cse_5/model,6.9042068,6.9530044
output/mlm_0_sim_cse_5/model,7.560987,9.685778
output/mlm_0_sim_cse_5/model,11.085696,2.267068
output/mlm_0_sim_cse_5/model,6.805513,8.185253
output/mlm_0_sim_cse_5/model,6.6926303,7.3684745
output/mlm_0_sim_cse_5/model,7.8974934,8.870011
output/mlm_0_sim_cse_5/model,10.843453,10.587404
output/mlm_0_sim_cse_5/model,6.390163,9.000105
output/mlm_0_sim_cse_5/model,7.0493584,10.000938
output/mlm_0_sim_cse_5/model,6.8724284,7.1331234
output/mlm_0_sim_cse_5/model,7.5301814,8.627219
output/mlm_0_sim_cse_5/model,8.676597,8.596421
output/mlm_0_sim_cse_5/model,7.583786,9.6033745
output/mlm_0_sim_cse_5/model,6.4713774,9.972065
output/mlm_0_sim_cse_5/model,6.835491,6.528893
output/mlm_0_sim_cse_5/model,6.8054194,6.5912614
output/mlm_0_sim_cse_5/model,9.530384,4.0753083
output/mlm_0_sim_cse_5/model,7.5923643,9.644439
output/mlm_0_sim_cse_5/model,9.693104,8.486197
output/mlm_0_sim_cse_5/model,7.7549343,9.512859
output/mlm_0_sim_cse_5/model,7.8826623,9.2792635
output/mlm_0_sim_cse_5/model,7.1194305,8.303812
output/mlm_0_sim_cse_5/model,7.3540716,9.64598
output/mlm_0_sim_cse_5/model,6.860667,6.966373
output/mlm_0_sim_cse_5/model,7.4437814,9.693626
output/mlm_0_sim_cse_5/model,8.403278,8.68921
output/mlm_0_sim_cse_5/model,7.16251,6.747503
output/mlm_0_sim_cse_5/model,7.5881042,9.593767
output/mlm_0_sim_cse_5/model,8.930998,8.462072
output/mlm_0_sim_cse_5/model,7.165388,6.385395
output/mlm_0_sim_cse_5/model,7.585669,9.512526
output/mlm_0_sim_cse_5/model,10.479866,0.6882894
output/mlm_0_sim_cse_5/model,6.436189,6.7443266
output/mlm_0_sim_cse_5/model,6.7724357,5.5595226
output/mlm_0_sim_cse_5/model,7.491702,9.8092
output/mlm_0_sim_cse_5/model,7.2058964,5.752907
output/mlm_0_sim_cse_5/model,7.0143676,5.876035
output/mlm_0_sim_cse_5/model,7.7742605,8.42434
output/mlm_0_sim_cse_5/model,7.511325,7.451852
